Comments,Result
"I'm curious if Apple would ever decide to create a Macbook SE. Maybe keep the Macbook Air M1 design in principle but tweak it in a way that they could sell it for... I dunno $699 or less and have it start competing with Chromebooks and the like (or at least the peception of a super cheap, gateway product into Mac OS).",1
I love how MKBHD just jumps right into the video and doesn't waste our time. Also very informative! Thanks for this video!,0
Excellent review. The best I have seen since the new MacBook Air M2 came out. The fact this little laptop could render videos shows it can handle day-to-day workflows. I have a version spec'ed out and I am looking forward to its delivery.  Yes it was little pricey and I normally buy MacBook Pro's but when I look at how I use laptops I think this hits a sweet spot for me.,1
"After reading all of the responsible reviews, it’s clear that the ability to render video (as an example) is mostly for occasional convenience. The fact that you can do some 4K rendering is just amazing. Trying to compare this M2 MBA to an active cool system is for stunt purposes only. Otherwise, this might be the best ultra portable ever.",1
I was considering buying for traveling mostly because my 16” is not travel material in my opinion. It’s heavy! But at the same time I feel you when you say Apple should started with at least 512gb ssd and more memory without going so high up with the price.  And I wish there was a full white one including the keyboard!,1
Always so happy when Marques drops a review on something I have been waiting a long time for. Never fails to impress with the quality of the video!,0
"Absolutely killing it with the intros. They are so original, so good, and literally increase the already EXTREMELY HIGH quality videos by an absolute TON. Keep it up man!",0
"The fact that Apple not only decided to stick with 256GB as the entry storage, but is in fact SLOWER storage than the previous model is absurd. It should at the very least have a note on their website specifying these detail",1
The use of colour in this was so so good! Just watching your  video compositions go from brilliance to brilliance is so exciting,0
"I’ve been using my M1 AIR 16GB and 500gb for 3 months now and I still love it and have had no problems with it, people told me I should wait and buy the new M2 but this has done me just well and it was a lot cheaper than the m2",1
It is definitely such a great design ,1
Absolutely love my Macbook Air M1 and can't wait to get this one!,1
"ok , so mac book air M2, compaired to a m1 pro or ultra would you say bang for buck . or even go for m1 mac book pro instead of M2 air. I think from your review this is what we need to know.",1
Love your reviews dude! You are so good at breaking it down and speaking the average consumers language. Gonna snag this for sure. Be blessed!,0
"Very concise review, and your studio looks great!  I cant wait for my midnight air tomorrow.",1
I would love to see the black/blue come to the macbook pro lineup. I'd buy a maxed out ultra in this black color.,1
"OMG!!! Your channel is awesome!!! I discovered it while watching M2 MacBook Air reviews and since then, I’ve subscribed to it watched a huge amount of your videos.",0
"I can't believe this guy does a whole review on a laptop in 5 minutes, while others make a 20-minute video just for first impressions.",0
"Holy shit. You were not kidding, The equivalent NVIDIA laptop for the same laptop is $500 dollars more right now, what a fantastic purchase opportunity for consumers and a real marketing component for innovation, having great performance and temps while at the same time not sacrificing temperatures or battery life of the system. I really wish that they would push the amd advantage onto non gaming laptops like the XPS, as I would love to see what these products can offer from a productivity laptop perspective, as the numbers here seem to be able to unironically be able to compete with apple M1 solution.",1
"I like this style of video. No fancy graphics or edits, it's like having a knowledgable friend chatting with you casually about the latest tech.",0
"In terms of upload frequency, Dave is on fire these days",0
I rly hope they continue their partnership I see it bearing fruits in the longer term.,0
"If you're considering one of these, I highly recommend looking into the Asus flow x13 as well. The Asus is (usually) actually in stock at best buy. You can get it w/ a ryzen 9 6000 hs series, 3050ti, also in a thin n light form factor, with a 120hz screen. It's also 360 degree flipable",1
I'm really interested in battery time and performance on battery. does it throttle down too much when not on power source?,1
"Thank god, the lighting is finally normal and not eye dazzling lol",0
I was surprised with the webcam quality 😍😍,0
Me downloading a 4K wallpaper in my 480p screened 💻 laptop is a joke right!,0
I hope Unbox Therapy Channel gets to 20 million this year,0
"Hi, how about case quality, heat, fan noise, battery life and performance.  this laptop or the new Xps 13 plus ??  , greets, kriszty",1
"Very concise review, and your studio looks great!  I cant wait for my midnight air tomorrow.",1
The bezels look good,1
Nice nice now make a review video on the Toyota Supra behind you 🎌,0
The only problem with Lenovo are their hinges.. No matter which laptop you buy.. Be it a low end or top end.. Post 2 years those hinges are gonna be gone and you gotta pay a lot for replacement.. Which is sad.,1
"Your videos were interesting, i used to watch them, advise you to shorten the duration of lew later videos and here u got ur background mess and in addition, i really miss ur phone unboxing videos, n the last one, colorful ceiling 🧐, sorry mate((",0
I didn't get a notification good thing I took a look thru my YouTube subscribers list..,0
What's the release day in United States？,1
lenovo aquired redhat and still using windows,1
Halo🤗from indonesia🇮🇩,0
No sound,0
I love how Marques is slowly shifting from analysing the products specs to analysing the companies predatory behavior.,0
